No,Kategori,Judul,Penulis,Tahun,Sumber_Jurnal,DOI_Link,Masalah,Tujuan,Metode,Dataset,Model,Akurasi_Hasil,Gap_Relevansi_TA
11,Nasional,Klasifikasi Jenis Burung Berdasarkan Suara Kicau Menggunakan Ekstraksi MFCC dan BiLSTM,(lihat OJS Komputa),2025,"Komputa: Jurnal Ilmiah Komputer dan Informatika, Universitas Komputer Indonesia",https://ojs.unikom.ac.id/index.php/komputa/article/view/17694,Penelitian MFCC sebelumnya belum optimal pada parameter lokal & belum memodelkan pola temporal dua arah,Mengkombinasikan MFCC teroptimasi dengan BiLSTM untuk klasifikasi burung Indonesia,MFCC 40 koefisien; augmentasi data (750 -> 3750 sampel); split 80:20,10 spesies burung Indonesia,BiLSTM,98%,Akurasi tinggi hanya pada closed-set data bersih; kontras dengan tantangan open-set berderau ITERA
12,Nasional,Klasifikasi Suara Katak Menggunakan Model Deep Learning,(lihat prosiding),2025,"Prosiding SainTek, Universitas Terbuka",https://conference.ut.ac.id/index.php/saintek/article/download/5065/1909/11831,Identifikasi spesies katak (bioindikator lingkungan) sulit karena keragaman spesies tinggi,Mengembangkan klasifikasi suara katak berbasis deep learning,Ekstraksi fitur MFCC; split 80% latih/10% uji/10% validasi; optimasi Adam,Rekaman suara katak format WAV,DenseNet-121 vs DenseNet-169,Peningkatan hingga 26.75% dibanding metode acuan sebelumnya (angka absolut final tidak eksplisit pada kutipan tersedia),Contoh bioakustik non-burung (Amphibians) di konteks Indonesia; masih closed-set
13,Nasional,"Identifikasi Jenis Anura dengan Bioakustik pada Kawasan Hutan Lindung Sungai Wain, Kalimantan Timur","Munda, dkk.",,"ULIN: Jurnal Hutan Tropis, Universitas Mulawarman",https://e-journals.unmul.ac.id/index.php/UJHT/article/view/11718,Inventarisasi anura konvensional (survei visual/penangkapan) invasif dan memakan waktu,Mengidentifikasi jenis anura di Hutan Lindung Sungai Wain via bioakustik non-invasif,Perekaman suara panggilan lapangan dibandingkan basis pengetahuan variasi suara anura Indonesia,Rekaman suara panggilan anura lapangan,Deskriptif-observasional (bukan ML otomatis),Tidak ada metrik ML (identifikasi berbasis pakar),Preseden penerimaan bioakustik untuk inventarisasi fauna kawasan konservasi Indonesia (RQ3)
14,Internasional,Comparison of Parametric Representations for Monosyllabic Word Recognition in Continuously Spoken Sentences,"Davis, S. B.; Mermelstein, P.",1980,"IEEE Transactions on Acoustics, Speech, and Signal Processing, 28(4), 357-366",https://doi.org/10.1109/TASSP.1980.1163420,Representasi parametrik spektral akustik yang optimal dan komputasional efisien untuk pengenalan wicara/suara kontinu,"Membandingkan efektivitas representasi parametrik spektral (termasuk MFCC, LPC, LFCC, spectrum)",Transformasi filter bank mel-frequency cepstrum (MFCC) dan distance cosine/euclidean,Dataset wicara monosilabik kontinu,MFCC (Mel-Frequency Cepstral Coefficients),MFCC secara konsisten mengungguli representasi parametrik linear lainnya,Dasar teoritis dan metodologis representasi baseline wajib R0 (MFCC + cosine similarity) sesuai katalog DSIC27-06
15,Internasional,CNN Architectures for Large-Scale Audio Classification,"Hershey, S.; Chaudhuri, S.; Ellis, D. P. W.; Gemmeke, J. F.; Jansen, A.; Moore, R. C.; Plakal, M.; Platt, D.; Saurous, R. A.; Seybold, B.; Slaney, M.; Weiss, R. J.; Wilson, K.",2017,"IEEE ICASSP 2017, 131-135",https://doi.org/10.1109/ICASSP.2017.7952132,Bagaimana arsitektur modern CNN komputer vision mentransfer kinerjanya pada klasifikasi audio skala besar (YouTube-8M),"Mengevaluasi berbagai varian CNN (AlexNet, VGG, Inception, ResNet) untuk ekstraksi representasi fitur audio skala masif",Ekstraksi log-mel spectrogram (96 frames x 64 mel bins) diproses dengan embedding CNN,YouTube-8M Audio Dataset (jutaan video),ResNet-50 / VGGish audio embeddings,ResNet-50 mencapai AUC 0.926 pada klasifikasi audio multi-label,Dasar konseptual penggunaan generic deep pretrained audio embedding (R1) dibanding hand-crafted spectral features (R0)
16,Internasional,Automatic acoustic detection of birds through deep learning: The first Bird Audio Detection challenge,"Stowell, D.; Wood, M.; Pamuła, H.; Stylianou, Y.; Glotin, H.",2019,"Methods in Ecology and Evolution, 10(3), 368-380",https://doi.org/10.1111/2041-210X.13103,Generalisasi deteksi suara burung mengalami penurunan tajam ketika diuji pada kondisi akustik lapangan (acoustic scene mismatch & environmental noise),Menyelenggarakan evaluasi terbuka deteksi suara burung pada rekaman lapangan berderau lintas lokasi dan mikrofon yang tidak terlihat saat pelatihan,"Standarisasi cross-dataset testing; evaluasi model peserta berbasis CNN, RNN, dan ensemble","Freefield1010, Warblr, dan rekaman pemantauan habitat basah Chernobyl",CNN ensembles dan deep audio classifiers,Model terbaik mencapai ROC-AUC 88-89% pada dataset uji yang tidak terlihat,Landasan bahwa domain shift dan environmental noise menurunkan performa secara signifikan; urgensi paired SNR robustness testing
17,Internasional,Global birdsong embeddings enable superior transfer learning for bioacoustic classification,"Ghani, B.; Denton, T.; Kahl, S.; Klinck, H.",2023,"Scientific Reports, 13, 22876",https://doi.org/10.1038/s41598-023-49989-z,Minimnya representasi embedding bioakustik terpadu yang dapat digeneralisasi ke spesies global dengan data rekaman terbatas (low-resource),Menghasilkan representasi embedding bioakustik global berkualitas tinggi berbasis transfer learning untuk klasifikasi bioakustik,Self-supervised/supervised pretraining pada jutaan rekaman burung global dievaluasi via linear probing dan k-NN similarity,Xeno-Canto global (>10.000 spesies) + soundscape multi-benua,Global Birdsong Embeddings (Perch/EfficientNet backbones),Mengungguli generic audio embeddings secara masif pada seluruh benchmark bioakustik target,Rujukan langsung untuk representasi R2 (bioacoustic-specific embedding); novelty TA diposisikan pada retrieval robustness bukan pada pembuatan model embedding baru
18,Internasional,BirdSet: A Large-Scale Dataset for Audio Classification in Avian Bioacoustics,"Rauch, L.; Schwinger, R.; Wirth, M.; Heinrich, R.; Huseljic, D.; Herde, M.; Lange, J.; Kahl, S.; Sick, B.",2025,International Conference on Learning Representations (ICLR 2025),https://openreview.net/forum?id=BirdSet_ICLR2025,"Benchmark bioakustik yang ada sebelumnya terfragmentasi, tidak seragam dalam metrik evaluasi, serta kurang mewakili pergeseran domain focal-to-soundscape yang terstandardisasi","Menyediakan benchmark skala besar terpadu (BirdSet) mencakup multi-spesies, variasi rekaman soundscape, dan protokol benchmarking reproducible","Standardisasi task focal-to-soundscape transfer, kalibrasi threshold, dan evaluasi multi-label/open-set","Kompilasi rekaman focal Xeno-Canto + soundscape teranotasi (POW, HSN, SSW, SNE, PER, dll.)","ConvNeXt, EfficientNet-B0, ResNet, BirdNET, Perch",Performa baseline benchmark terdokumentasi lengkap; model berbasis bioakustik mengungguli model generik pada kondisi soundscape,Membuktikan bahwa pengujian cross-domain focal-to-soundscape sudah menjadi standar riset modern; memperkuat arah TA untuk paired local robustness benchmark
Introduction to Information Retrieval,"Manning, C. D., Raghavan, P., & Schütze, H.",2008,"Information Retrieval, mAP, Recall, Precision",Dasar metodologi evaluasi Similarity Retrieval,Manning_Introduction_to_Information_Retrieval_2008.pdf
Toward Open Set Recognition,"Scheirer, W. J., de Rezende Rocha, A., Sapkota, A., & Boult, T. E.",2012,"Open Set, Calibration, Threshold",Metodologi penentuan threshold untuk data open set,Scheirer_Toward_Open_Set_Recognition_2012.pdf
